Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
92.0,60.39,293.9,63.57,28.81,60.14,0.078,0.165,-0.419,0.115
63.0,60.33,291.0,62.6,28.8,60.74,0.473,-0.223,-0.171,0.068
94.0,60.27,305.1,68.21,29.49,55.53,-0.005,0.4539999999999999,0.2019999999999999,-0.337
71.0,60.18,292.5,69.91,29.78,60.23,-0.205,-0.019,0.266,-0.123
74.0,60.1,288.8,61.51,28.16,58.56,0.536,-0.3,-0.614,0.037
75.0,60.06,291.9,63.15,29.32,53.5,-0.157,-0.205,0.159,-0.479
91.0,60.02,296.5,66.93,28.73,62.8,0.149,0.282,0.57,-0.09
69.0,59.98,295.2,65.13,28.91,62.91,0.53,0.301,0.215,0.1889999999999999
54.0,59.97,283.8,65.6,29.13,61.18,-0.016,-0.149,-0.241,0.0819999999999999
84.0,59.91,297.2,66.19,29.06,57.52,0.107,0.252,0.118,-0.1009999999999999
92.0,59.83,296.0,67.38,29.24,59.21,-0.273,0.264,0.588,-0.05
72.0,59.82,297.0,63.43,28.6,55.06,-0.336,0.2339999999999999,-0.143,0.059
75.0,59.8,278.0,59.86,28.17,59.26,0.316,-0.496,-0.529,0.175
88.0,59.8,299.5,68.19,29.86,54.47,0.084,0.2239999999999999,0.02,-0.324
105.0,59.79,287.2,66.38,29.36,58.94,-0.32,-0.067,0.084,0.085
94.0,59.71,289.6,65.68,28.96,58.81,0.2289999999999999,-0.247,0.158,0.106
104.0,59.65,296.4,66.07,29.08,56.98,0.154,0.255,0.251,-0.182
106.0,59.63,294.3,64.74,29.07,58.64,0.492,0.021,-0.4039999999999999,0.063
101.0,59.61,302.4,67.68,29.69,56.94,-0.402,0.262,0.33,-0.081
71.0,59.58,305.6,63.02,29.28,55.67,-0.187,0.647,-0.175,-0.201
78.0,59.52,300.7,69.52,29.46,54.94,-0.456,0.422,0.477,-0.19
85.0,59.48,295.0,69.97,28.34,61.75,0.278,0.321,0.8959999999999999,0.429
70.0,59.32,295.1,66.84,29.38,50.0,-0.526,0.19,0.311,-0.25
66.0,59.31,281.4,60.93,28.47,63.07,0.079,-0.573,-0.254,0.294
95.0,59.26,305.7,66.97,29.99,54.9,-0.405,0.607,0.077,-0.226
95.0,59.24,294.8,65.69,28.79,59.62,-0.1169999999999999,0.156,0.053,-0.062
94.0,58.9,306.9,69.35,29.76,58.21,-0.381,0.431,0.5710000000000001,0.039
90.0,58.61,305.8,68.79,28.81,63.74,0.256,0.949,0.515,0.057
66.0,58.48,300.4,68.19,29.15,59.44,-0.063,0.5589999999999999,0.363,0.373
